event_id,user_id,event_type,event_ts
1,171,click,2025-11-29 19:30:00
2,49,click,2025-04-19 06:05:00
3,60,view,2025-05-10 19:37:00
4,65,add_to_cart,2025-08-25 14:12:00
5,36,click,2025-07-09 11:06:00
6,32,click,2025-12-21 03:30:00
7,70,checkout,2025-02-20 16:39:00
8,175,view,2025-03-13 09:22:00
9,1,view,2025-05-24 20:36:00
10,57,click,2025-07-02 07:12:00
11,13,purchase,2025-11-21 20:24:00
12,113,view,2025-07-14 01:44:00
13,51,view,2025-06-25 06:13:00
14,159,view,2025-03-28 01:02:00
15,118,checkout,2025-06-24 07:14:00
16,157,view,2025-07-26 10:06:00
17,127,click,2025-08-12 15:33:00
18,88,purchase,2025-08-19 23:20:00
19,173,view,2025-06-22 18:44:00
20,96,click,2025-03-24 22:10:00
21,190,click,2025-03-23 09:37:00
22,199,add_to_cart,2025-03-24 01:24:00
23,118,view,2025-08-24 03:12:00
24,135,view,2025-11-10 14:16:00
25,52,view,2025-11-19 10:15:00
26,163,add_to_cart,2025-05-14 18:11:00
27,135,add_to_cart,2025-02-27 06:39:00
28,181,view,2025-08-28 00:14:00
29,54,view,2025-02-13 15:57:00
30,158,checkout,2025-08-26 20:02:00
31,95,view,2025-06-07 10:10:00
32,38,view,2025-11-04 22:14:00
33,35,click,2025-08-26 08:57:00
34,113,view,2025-10-03 03:57:00
35,64,view,2025-06-14 21:20:00
36,21,click,2025-11-05 09:21:00
37,86,view,2025-07-24 07:01:00
38,131,click,2025-08-26 07:42:00
39,64,click,2025-05-31 00:09:00
40,192,click,2025-06-29 07:42:00
41,156,view,2025-11-05 05:56:00
42,103,add_to_cart,2025-06-10 21:02:00
43,187,view,2025-02-08 01:19:00
44,87,add_to_cart,2025-06-06 01:54:00
45,28,view,2025-06-10 08:18:00
46,8,add_to_cart,2025-06-19 01:40:00
47,188,view,2025-02-24 07:38:00
48,192,view,2025-03-15 16:07:00
49,148,click,2025-05-18 22:22:00
50,21,view,2025-06-20 21:45:00
51,59,view,2025-02-10 13:46:00
52,9,click,2025-06-09 12:24:00
53,11,add_to_cart,2025-05-17 15:24:00
54,50,view,2025-02-12 09:48:00
55,115,checkout,2025-04-24 15:13:00
56,14,add_to_cart,2025-05-02 19:02:00
57,197,checkout,2025-03-20 08:45:00
58,92,click,2025-10-07 03:06:00
59,53,click,2025-02-24 21:12:00
60,104,click,2025-08-10 17:19:00
61,159,click,2025-09-08 13:27:00
62,63,checkout,2025-10-25 00:50:00
63,10,view,2025-07-31 01:00:00
64,11,view,2025-07-30 02:05:00
65,171,view,2025-10-10 01:35:00
66,23,purchase,2025-11-09 20:20:00
67,128,view,2025-04-11 14:42:00
68,77,click,2025-10-21 16:51:00
69,156,add_to_cart,2025-07-03 13:57:00
70,13,purchase,2025-03-05 10:24:00
71,180,view,2025-08-22 02:25:00
72,140,add_to_cart,2025-12-20 09:53:00
73,90,checkout,2025-03-19 10:22:00
74,42,view,2025-02-05 20:47:00
75,196,add_to_cart,2025-11-30 10:49:00
76,61,view,2025-08-16 22:57:00
77,99,click,2025-04-14 07:13:00
78,79,click,2025-10-20 12:41:00
79,47,view,2025-06-10 21:57:00
80,84,view,2025-05-21 12:36:00
81,31,view,2025-05-07 15:15:00
82,1,view,2025-08-17 12:40:00
83,58,click,2025-03-17 09:34:00
84,23,view,2025-05-31 12:00:00
85,83,view,2025-05-12 16:13:00
86,173,click,2025-02-21 00:04:00
87,33,click,2025-10-10 20:11:00
88,1,click,2025-02-03 19:00:00
89,23,purchase,2025-12-14 16:59:00
90,102,view,2025-03-04 07:18:00
91,55,add_to_cart,2025-05-30 05:13:00
92,98,view,2025-03-05 11:24:00
93,6,add_to_cart,2025-06-02 01:39:00
94,67,purchase,2025-08-21 14:14:00
95,83,add_to_cart,2025-03-01 20:51:00
96,87,click,2025-07-24 12:51:00
97,111,click,2025-10-13 17:15:00
98,157,view,2025-07-01 07:16:00
99,94,click,2025-03-10 02:34:00
100,169,add_to_cart,2025-09-17 08:01:00
101,106,purchase,2025-04-03 12:55:00
102,53,click,2025-02-06 13:15:00
103,46,view,2025-06-25 03:21:00
104,65,click,2025-05-01 10:11:00
105,120,view,2025-02-10 09:32:00
106,49,view,2025-10-15 12:57:00
107,183,view,2025-08-17 21:52:00
108,96,add_to_cart,2025-11-28 07:01:00
109,173,view,2025-07-09 12:31:00
110,137,view,2025-06-25 15:37:00
111,67,view,2025-11-06 01:36:00
112,46,checkout,2025-02-27 21:21:00
113,149,click,2025-05-31 08:24:00
114,67,view,2025-10-22 13:55:00
115,50,view,2025-05-08 12:55:00
116,187,click,2025-11-20 02:32:00
117,97,view,2025-05-05 17:32:00
118,10,click,2025-06-17 12:11:00
119,99,view,2025-11-24 03:08:00
120,93,checkout,2025-04-22 07:22:00
121,173,view,2025-12-17 11:27:00
122,143,click,2025-02-15 12:15:00
123,39,view,2025-04-29 17:07:00
124,31,purchase,2025-08-15 01:22:00
125,121,purchase,2025-08-16 01:23:00
126,10,add_to_cart,2025-11-28 06:09:00
127,64,click,2025-12-14 17:42:00
128,28,view,2025-09-12 16:52:00
129,5,add_to_cart,2025-09-06 17:07:00
130,184,add_to_cart,2025-05-16 16:36:00
131,18,view,2025-10-24 20:45:00
132,2,click,2025-09-01 03:40:00
133,187,click,2025-02-08 22:39:00
134,38,add_to_cart,2025-11-02 13:58:00
135,164,click,2025-05-30 16:30:00
136,7,click,2025-07-08 00:34:00
137,31,click,2025-07-11 09:54:00
138,23,view,2025-10-29 12:24:00
139,142,view,2025-04-30 09:58:00
140,125,view,2025-06-10 07:55:00
141,96,add_to_cart,2025-02-13 21:50:00
142,49,view,2025-05-27 00:09:00
143,18,view,2025-03-02 03:53:00
144,114,view,2025-08-12 09:16:00
145,47,view,2025-11-22 18:05:00
146,119,click,2025-07-04 08:18:00
147,138,view,2025-11-28 23:52:00
148,170,view,2025-12-20 10:43:00
149,99,add_to_cart,2025-02-18 18:07:00
150,1,view,2025-07-21 09:48:00
151,57,view,2025-07-25 07:58:00
152,171,view,2025-06-08 02:33:00
153,107,add_to_cart,2025-11-02 01:18:00
154,124,view,2025-06-11 07:52:00
155,92,add_to_cart,2025-02-19 05:06:00
156,33,purchase,2025-07-31 19:41:00
157,180,click,2025-04-08 15:06:00
158,155,view,2025-05-29 02:54:00
159,200,add_to_cart,2025-07-16 14:57:00
160,172,click,2025-09-27 13:25:00
161,59,view,2025-05-03 19:01:00
162,51,click,2025-06-06 14:51:00
163,50,view,2025-02-23 09:47:00
164,184,view,2025-06-07 18:25:00
165,112,view,2025-08-11 11:24:00
166,91,view,2025-08-23 14:25:00
167,194,view,2025-05-08 18:26:00
168,121,click,2025-02-21 01:54:00
169,182,purchase,2025-08-10 12:18:00
170,197,view,2025-09-05 06:24:00
171,16,click,2025-03-01 02:33:00
172,73,click,2025-07-17 15:22:00
173,147,view,2025-03-04 09:04:00
174,163,view,2025-06-30 11:58:00
175,30,view,2025-08-31 11:28:00
176,64,view,2025-09-26 08:29:00
177,110,view,2025-09-24 13:09:00
178,160,view,2025-10-09 05:23:00
179,23,click,2025-04-21 14:35:00
180,121,view,2025-11-07 06:23:00
181,60,view,2025-05-27 09:24:00
182,44,view,2025-06-04 16:26:00
183,104,click,2025-10-18 21:40:00
184,83,view,2025-05-19 22:08:00
185,128,click,2025-02-25 17:00:00
186,64,view,2025-09-24 17:35:00
187,165,view,2025-09-07 11:50:00
188,16,purchase,2025-08-11 23:53:00
189,173,view,2025-03-20 06:47:00
190,6,view,2025-08-28 11:52:00
191,148,view,2025-04-07 11:23:00
192,70,purchase,2025-08-03 07:44:00
193,77,click,2025-07-18 14:45:00
194,4,click,2025-10-13 23:43:00
195,141,purchase,2025-12-20 06:31:00
196,34,view,2025-04-04 17:07:00
197,132,purchase,2025-03-10 20:30:00
198,146,view,2025-08-03 09:14:00
199,170,click,2025-12-12 03:43:00
200,142,view,2025-03-25 04:09:00
201,61,view,2025-07-11 20:06:00
202,148,purchase,2025-06-15 09:26:00
203,166,view,2025-05-16 22:52:00
204,64,purchase,2025-09-08 02:49:00
205,25,view,2025-05-09 12:13:00
206,179,click,2025-07-13 17:07:00
207,30,purchase,2025-11-06 23:35:00
208,119,view,2025-06-06 06:21:00
209,48,checkout,2025-02-07 23:07:00
210,26,click,2025-11-20 00:57:00
211,156,click,2025-05-02 14:03:00
212,29,view,2025-10-14 00:46:00
213,135,click,2025-10-10 17:12:00
214,139,click,2025-07-24 16:13:00
215,13,click,2025-03-01 23:30:00
216,35,view,2025-12-11 12:25:00
217,159,view,2025-09-13 16:30:00
218,102,checkout,2025-06-21 00:58:00
219,25,view,2025-11-09 18:49:00
220,199,click,2025-10-19 01:32:00
221,53,purchase,2025-10-09 21:36:00
222,1,view,2025-03-28 10:03:00
223,185,view,2025-08-28 20:06:00
224,4,click,2025-05-06 07:28:00
225,111,view,2025-02-26 21:35:00
226,199,click,2025-05-23 13:38:00
227,116,click,2025-03-07 07:55:00
228,117,click,2025-03-07 22:06:00
229,78,view,2025-09-28 22:09:00
230,26,click,2025-07-16 14:17:00
231,115,click,2025-06-12 07:09:00
232,180,view,2025-04-05 10:42:00
233,19,click,2025-10-13 09:57:00
234,177,checkout,2025-08-29 06:45:00
235,84,click,2025-08-13 05:50:00
236,108,click,2025-04-04 17:31:00
237,34,view,2025-03-13 18:30:00
238,125,view,2025-03-13 18:10:00
239,37,view,2025-02-09 06:19:00
240,55,view,2025-12-17 19:10:00
241,145,purchase,2025-06-02 08:30:00
242,11,view,2025-09-06 05:15:00
243,90,add_to_cart,2025-12-22 03:22:00
244,119,view,2025-12-07 00:41:00
245,27,view,2025-05-17 19:00:00
246,59,view,2025-07-12 15:54:00
247,69,view,2025-07-03 19:16:00
248,133,add_to_cart,2025-02-12 00:32:00
249,196,purchase,2025-10-12 12:53:00
250,168,checkout,2025-08-09 13:01:00
251,38,view,2025-06-03 13:54:00
252,4,add_to_cart,2025-08-04 05:57:00
253,11,view,2025-10-01 16:48:00
254,120,checkout,2025-02-05 22:36:00
255,32,click,2025-09-02 04:41:00
256,47,view,2025-11-12 05:02:00
257,170,view,2025-09-28 17:07:00
258,175,view,2025-08-24 14:10:00
259,168,view,2025-03-02 21:06:00
260,51,checkout,2025-10-04 17:57:00
261,124,add_to_cart,2025-10-06 17:18:00
262,123,purchase,2025-07-13 23:51:00
263,38,view,2025-08-12 06:40:00
264,111,click,2025-08-24 01:44:00
265,106,view,2025-03-12 23:18:00
266,80,click,2025-04-26 23:09:00
267,151,view,2025-10-20 11:02:00
268,136,view,2025-12-19 08:09:00
269,107,click,2025-05-01 03:09:00
270,146,view,2025-06-13 05:42:00
271,153,click,2025-11-30 01:07:00
272,114,click,2025-03-26 13:37:00
273,54,view,2025-04-28 04:33:00
274,152,purchase,2025-02-19 10:51:00
275,144,click,2025-04-19 11:22:00
276,197,add_to_cart,2025-08-29 22:28:00
277,30,click,2025-05-26 21:56:00
278,84,click,2025-12-22 12:22:00
279,185,click,2025-11-22 05:07:00
280,103,checkout,2025-11-23 14:41:00
281,189,click,2025-09-28 16:51:00
282,3,view,2025-09-20 16:40:00
283,8,view,2025-07-19 04:33:00
284,160,click,2025-12-24 21:32:00
285,72,view,2025-03-04 11:17:00
286,105,view,2025-09-27 12:47:00
287,86,view,2025-03-19 06:49:00
288,82,click,2025-05-23 22:52:00
289,188,view,2025-04-26 08:30:00
290,19,click,2025-08-18 09:38:00
291,155,add_to_cart,2025-10-18 18:42:00
292,178,add_to_cart,2025-02-27 07:45:00
293,132,view,2025-08-18 13:05:00
294,80,click,2025-04-15 03:43:00
295,33,click,2025-02-26 09:49:00
296,137,click,2025-06-18 18:55:00
297,94,click,2025-08-11 19:37:00
298,30,view,2025-04-08 14:24:00
299,72,purchase,2025-06-09 15:14:00
300,193,view,2025-12-12 15:43:00
301,54,add_to_cart,2025-05-26 10:17:00
302,36,click,2025-12-26 13:07:00
303,137,view,2025-11-03 07:02:00
304,40,add_to_cart,2025-06-03 09:48:00
305,184,view,2025-08-10 08:19:00
306,172,add_to_cart,2025-09-23 01:05:00
307,197,click,2025-07-04 07:58:00
308,183,view,2025-06-15 13:32:00
309,49,view,2025-05-20 19:30:00
310,43,add_to_cart,2025-03-19 00:54:00
311,69,view,2025-02-09 05:26:00
312,94,checkout,2025-05-23 04:27:00
313,176,add_to_cart,2025-10-21 14:15:00
314,147,click,2025-04-19 00:18:00
315,129,view,2025-04-01 07:36:00
316,176,click,2025-05-20 06:22:00
317,130,purchase,2025-08-17 15:15:00
318,76,view,2025-04-12 22:58:00
319,83,view,2025-04-14 17:31:00
320,104,view,2025-03-10 01:46:00
321,18,view,2025-05-21 15:06:00
322,149,add_to_cart,2025-04-13 18:01:00
323,131,click,2025-11-02 07:09:00
324,147,click,2025-11-26 21:35:00
325,107,view,2025-06-03 06:24:00
326,157,view,2025-03-01 02:57:00
327,190,view,2025-03-01 20:38:00
328,114,checkout,2025-05-19 04:04:00
329,89,click,2025-07-03 22:40:00
330,21,view,2025-07-25 09:19:00
331,156,add_to_cart,2025-05-12 08:44:00
332,181,view,2025-05-28 23:44:00
333,140,view,2025-05-05 14:47:00
334,174,view,2025-07-21 19:26:00
335,173,purchase,2025-09-18 23:27:00
336,160,click,2025-02-15 07:53:00
337,101,click,2025-07-08 23:24:00
338,20,view,2025-09-03 00:40:00
339,1,view,2025-09-10 22:37:00
340,41,click,2025-08-05 22:45:00
